Zachary A. Krantz, CFP®
Alyssa Calhoun, CFP®
Randy A. Harootunian, CFP®
Stanley D. Buss, CFP®
Ryan T. Papez, CFP®
Michael J. Battaglia, CFP®
Nicholas M. Skrabo, CFP®
Thomas Martin, CFP®
Scott Gassen, CFP®
Brandi Stahl, CFP®
Duane Peoples, CFP®
Cody VanderHagen, CFP®
Paul A. Sawina, CFP®
Benjamin Sevcik, CFP®
Lisa Leslie, CFP®
Brandon Sussman, CFP®
Tony C. Yang, CFP®
Kelly T. Frohsin, CFP®
Amanda M. Howerton, CFP®
Larry J. Steckler, CFP®
Adam L. Schwartz, CFP®
Melissa A. Gannon, CFP®
Alexander C. Herrington, CFP®
Michele Walthert, CFP®
Greg Pillow, CFP®
Chad W. Holmes, CFP®
Bradley S. Shammas, CFP®
Gregory E. Paranzino, CFP®
Courtenay Hathcock, CFP®
James M. Devin, CFP®
Jeremy Schmidt, CFP®
Jason Fuller, CFP®
Matthew Miner, CFP®
Craig R. Watanabe, CFP®
Aaron M. Volen, CFP®
Fredrik H. Andersson, CFP®
Andrew P. Hoffman, CFP®
Benjamin W. Rose, CFP®
Kevin J. Plank, CFP®
Christopher M. Howard, CFP®
Corey M. Malstrom, CFP®
Kristina Elfering, CFP®
Benjamin D. Kille, CFP®
Alan M. Smith, CFP®
Brent A. Yard, CFP®
Robert A. Bye, CFP®
Jason Riney, CFP®
Catherine  L. Azeles, CFP®
Erin L. Zawisza, CFP®
Joseph M. Fisher, CFP®
Mallory W. Brenner, CFP®
Ronald D. Hughey, CFP®
JARED L. SLOAN, CFP®
Patty Perry, CFP®
Gerald F. Boesen, CFP®
James F. Periord, CFP®
Laura Upham, CFP®
Dennis T. Kruk, CFP®
Michael W. Yee, CFP®
Kristina C. Gilley, CFP®
Rachelle M. Packard, CFP®
Jason Murai, CFP®
Benjamin J. Feltes, CFP®
Ryan T. Pope, CFP®
Samuel E. Wagner, CFP®
HUI KIM, CFP®
Christopher A. Regeis, CFP®
David E. Keller, CFP®
Taylor A. Mosley, CFP®
Lauren C. Coverdale, CFP®
Patrick Sirayathorn, CFP®
Joshua D. Zorger, CFP®
Frances J. Coet, CFP®
Owen A. Thiessen, CFP®
Jeffrey J. Sustaita, CFP®
Brendan White, CFP®
Sanjay K. Pawar, CFP®
Lizeth Damaso, CFP®
Joshua A. Strange, CFP®
Brenna Johnson, CFP®
Ty R. Keenum, CFP®
Steven Stern, CFP®
David C. Fanciullacci, CFP®
Oliver Wyrtki, CFP®
Brandon J. Laxton, CFP®
Brittany M. Doughty, CFP®
Irving Birnbaum, CFP®
Lowell F. Washam, CFP®
Mun (Bobby) F. Teo, CFP®
Joshua Hovda, CFP®
Christina N. Hughes, CFP®
Theresa G. Jackson, CFP®
Matt Mathiesen, CFP®
Donald R. Viergever, CFP®
Paul S. Baumbach, CFP®
Epheson A. Mehari, CFP®
Quinn I. Im, CFP®
Kelly L. Stecklein, CFP®
John T. Closi, CFP®
Suzann R. Zadanosky, CFP®
Margaret Patrick, CFP®
Cristina Guglielmetti, CFP®
Christina M. Cleveland, CFP®
Michael H. Smith, CFP®
Laurie Fried, CFP®
Omar Roman, CFP®
Michael Emerson, CFP®
Rachel I. Garza, CFP®
Jessica Kott, CFP®
Justin M. Padgett, CFP®
W. Sean Jamison, CFP®
Will B. Lee, CFP®
Patrick Murray, CFP®
Corey J. D'Angelo, CFP®
George G. Elliott, CFP®
Anthony R. Case, CFP®
Thomas V. Zeuthen, CFP®
William L. Lazar, CFP®
Dallas J. Evans, CFP®
Sherri L. Goss, CFP®
Ilija Djukic, CFP®
Victoria Geiger, CFP®
Steven W. Heslinga, CFP®
Jared Wyson, CFP®
Blake T. Headley, CFP®
Clint N. Nelson, CFP®
Barbara Ginty, CFP®
Brian J. Konish, CFP®
Nicholas A. Griffiths, CFP®
Leslie L. Coyle, CFP®
Timothy C. Lukasek, CFP®
Roger S. Green, CFP®
David A. Kaminski, CFP®
Hayden T. Lusk, CFP®
Richard Huber, CFP®
Robert L. Prestridge, CFP®
Michael Butensky, CFP®
Devin J. DeLapp, CFP®
Cynthia D. Alvarez, CFP®
Thomas C. Hock, CFP®
Holly G. Kindel, CFP®
Jared H. Brock, CFP®
Benjamin W. Shrader, CFP®
Jared W. Hollander, CFP®
Sergei Skiba, CFP®
Donna M. Quam, CFP®
Jason W. Neal, CFP®
Michael R. Lipsey, CFP®
Austin  Potter, CFP®
Lynn H. Orr, CFP®
William P. Phelan, CFP®
David K. Billingslea, CFP®
Thomas J. Treshock, CFP®
Timothy M. Macarak, CFP®
Daniel N. Saxe, CFP®
Joseph L. Bell, CFP®
Sandeep Gupta, CFP®
Eric S. Eklof, CFP®
Ronald  F. DuCharme, CFP®
Van C. Elliott, CFP®
Audra N. Ames, CFP®
Michael Beary, CFP®
Benjamin M. Wuerffel, CFP®
Todd A. Rausch, CFP®
Lisa L. Waterman, CFP®
David T. Tracy, CFP®
Norinne H. Millner, CFP®
Kenneth Green, CFP®
Ashley A. Sullivan, CFP®
Adan H. Diaz, CFP®
W Don Brown, CFP®
Catherine R. Smith, CFP®
Peter T. Gibson, CFP®
Nicholas V. Zanoni, CFP®
Brian E. Dexl, CFP®
James T. Reeves, CFP®
Jeffrey A. Judson, CFP®
Christopher L. Sprenkle, CFP®
katherine e. canon, CFP®
William E. Jacobs, CFP®
Travis C. Vongsawad, CFP®
Shawn L. Longley, CFP®
Kim R. Angell, CFP®
Susan L. Cooper, CFP®
William R. Owen, CFP®
Christian I. Choi, CFP®
Angela Seguro, CFP®
Stephen T. Moose, CFP®
Ian D. Cerminara, CFP®
Eric G. Strom, CFP®
Alison F. Wertz, CFP®
Norman T. Bradshaw, CFP®
Laura Oris, CFP®
Andrew J. Schoenike, CFP®
Timothy Dunn, CFP®
Dean Colvin, CFP®
Mark A. Carter, CFP®
Keith L. Haskell, CFP®
Christopher J. Merchant, CFP®
Vincent L. Russo, CFP®
Elaine M. Ries, CFP®
Christopher W. Lakatosh, CFP®
Ashley  Foster, CFP®
Nicholas C. Ockenga, CFP®
Bryan R. Ludwig, CFP®
David Hoffman, CFP®
Marc Leven, CFP®
Ryan Murray, CFP®
David A. Minarik, CFP®
April D. Kriha, CFP®
Jonathan R. Kurtz, CFP®
Andrew R. Joyce, CFP®
Jason O. Norton, CFP®
Michael W. Brown, CFP®
Thomas W. Anderton, CFP®
Jacob Schmidt, CFP®
Chris S. Lynch, CFP®
Neal Vasso, CFP®
Michelle Coleman, CFP®
Warren A. Udd, CFP®
Shaun Quirk, CFP®
Mark Avallone, CFP®
Laura M. Raulinaitis, CFP®
Zachary A. Zimmer, CFP®
Marshall McCormick, CFP®
Kimerly  P. Guerrero, CFP®
Nickolus Stephens, CFP®
Francis H. Beam, CFP®
Michelle L. Glood, CFP®
Travis J. Reap, CFP®
Timothy C. Egart, CFP®
Margarethe Aderhold, CFP®
Michael J. Tringali, CFP®
Matthew H. Garber, CFP®
Matthew K. Traub, CFP®
Megan M. Brozowski, CFP®
David A. Frisch, CFP®
Taryn Bosco, CFP®
Matthew W. Davis, CFP®
Ronald A. Manso, CFP®
Xinyi  C. Yu, CFP®
Christopher S. Wilkin, CFP®
Gregory P. Althans, CFP®
Douglas E. Carroll, CFP®
Paul Morrone, CFP®
Joseph Ormont, CFP®
Eric B. Lankin, CFP®
Lee M. Generous, CFP®
Genesis Loera, CFP®
Kate Tastrom, CFP®
William R. Hines, CFP®
James S. Bennett, CFP®
John A. Rodgers, CFP®
Salvador A. Perez, CFP®
Marc J. Fleuette, CFP®
Frank J. DeCandido, CFP®
Timothy A. Argyres, CFP®
Jack E. Driscoll, CFP®
Eric T. Dimino, CFP®
Craig J. Horvath, CFP®
Nathaniel Collier, CFP®
James M. Curry, CFP®
Trey Gevers, CFP®
Spencer W. MacDougall, CFP®
Ryan M. Day, CFP®
Thomas C. Corcimiglia, CFP®
Alexander A. Watson, CFP®
Scott A. Birmingham, CFP®
Larry D. Rhea , CFP®
Nicholas Salamone, CFP®
Jeffrey J. Butterfield, CFP®
JIYAN HU, CFP®
Timothy J. Gantt, CFP®
Tod E. Wells, CFP®
Eric Neuwirth, CFP®
Amy M. Gavlenski, CFP®
Kimberlee A. Bouska, CFP®
Robert G. Skaggs, CFP®
Robert J. Andreola, CFP®
Alan J. Fishman, CFP®
Richard J. Cohen, CFP®
Tyler S. Finney, CFP®
Crystal J. Rodricks, CFP®
Jane O. Rowny, CFP®
Ryan A. McKenna, CFP®
Daniel J. Kennedy, CFP®
Ryan T. Heiligenthal, CFP®
Kelli N. Kingma, CFP®
Patrick A. Easter, CFP®
William T. Van Domelen, CFP®
Lawrence T. Jackson, CFP®
Amy P. Rosa, CFP®
Thomas A. Geisler, CFP®
Kristin Vonnes, CFP®
Robert H. Bastiaans, CFP®
Garrett Harper, CFP®
Eric T. Matthews, CFP®
William B. Bowers, CFP®
Paul C. Smith, CFP®
Edward J. Kohlhepp, CFP®
JIM JARVIS, CFP®
Theresa L. Rowland, CFP®
Shawna T. Bieda, CFP®
Joel D. Rothe, CFP®
James D. Hallett, CFP®
George M. Hiller , CFP®
Samuel Smith, CFP®
James K. Johnston, CFP®
Evan T. Stark, CFP®
Amber Leach, CFP®
Michael Schmidt, CFP®
David J. Gill, CFP®
Philip J. Fulco, CFP®
David J. Bosak, CFP®
Mohammad Sarhan, CFP®
Ryan  A. Bolin, CFP®
John F. Martin, CFP®
Jennifer P. Lane, CFP®
Shannon Johnson, CFP®
Mark M. Teague, CFP®
Zachary Eisner, CFP®
John E. Carlson, CFP®
Travis J. McShane, CFP®
Bruce S. Stuart, CFP®
Brooke V. May, CFP®
Gabriel Talley, CFP®
Jacob Erlendson, CFP®
Jim Koliatsis, CFP®
Kevin R. Merling, CFP®
Jean M. Russell, CFP®
Erin R. Flower, CFP®
Michael J. Chibidakis, CFP®
Christopher S. Fuson, CFP®
Bryce  W. Leygraaf, CFP®
Cristi Tanner, CFP®
Nathan E. Freer, CFP®
Brian J. Olson, CFP®
Scott Freeman, CFP®
George J. Waters, CFP®
Lisa F. Lewis, CFP®
Kristopher Korzi, CFP®
Fareeha N. Arshad, CFP®
Michelle H. Tucker, CFP®
Christopher Rafferty, CFP®
Russell Munn, CFP®
Zane Zent, CFP®
Cassandra H. Guerrero, CFP®
Jay C. Burgman, CFP®
Brooks F. Lanoue, CFP®
Douglas Timmerman, CFP®
Bradley Worsham, CFP®
David V. Fernelius, CFP®
Michael C. Wittenberg, CFP®
Nicholas Ternes, CFP®
Peter M. Cote, CFP®
Donna Carpenter, CFP®
Brian Barbee, CFP®
mitchell davis, CFP®
Matthew D. Abers, CFP®
James T. Leever, CFP®
James M. Bell , CFP®
Brandon Stoker, CFP®
Michael L. Klitsch, CFP®
Zachary Knutson, CFP®
Lance Knaack, CFP®
Brian Face, CFP®
hoai v. bui, CFP®
Jean Riordan, CFP®
Manuel A. Lugo Garcia, CFP®
William E. Hardin, CFP®
Zachary P. Hagen, CFP®
Krysta Dos Santos, CFP®
Neal T. Leisch, CFP®
Raymond C. Odom, CFP®
Sarah C. Herndon, CFP®
Michael Riskin, CFP®
Todd L. McClain, CFP®
Gabrielle L. Fabre, CFP®
Levi  A. Jones, CFP®
Matthew Hurwitz, CFP®
John D. Haire, CFP®
Monnye H. Furr, CFP®
Jessica L. Reuss, CFP®
Judson Meinhart, CFP®
Aaron C. Foster, CFP®
Christopher D. Conkell, CFP®
Scott J. Strum, CFP®
Robert G. Hurley, CFP®
Jason P. Weaver, CFP®
Neil E. Saiz, CFP®
Jordon Wheeler, CFP®
Joshua Street, CFP®
Andrew Seiler, CFP®
Cassandra J. Meixelsperger, CFP®
Michael Indart , CFP®
Gregory V. Cherry, CFP®
Jeffrey J. Rapp, CFP®
David S. Hollier, CFP®
John O'Callaghan, CFP®
Nathan J. Putnam, CFP®
Angelica L. Torres Dominguez, CFP®
Neil J. Moscicki, CFP®
Jon P. Yankee, CFP®
Jordan Hucht, CFP®
Casey Tjalsma, CFP®
Kelly Neely, CFP®
Jeffrey R. Hardy, CFP®
Scot S. Hanson, CFP®
Nguyen H. Truong, CFP®
Ellen T. Jordan, CFP®
James D. Vermillion, CFP®
Nathan Collier, CFP®
Daniel M. Bayly, CFP®
Devon Henry, CFP®
George P. Mitchell, CFP®
Steven D. O'Connor, CFP®
Carol O'Rourke, CFP®
Graham C. Hill, CFP®
Neil J. McCarthy, CFP®
William H. Braddy, CFP®
Michael Hohenstein, CFP®
Steven J. Vitale, CFP®
Dahn B. Lincoln, CFP®
Jordan Sandfer, CFP®
Kevin P. Hasslinger, CFP®
Donald W. Adams, CFP®
Katherine A. Barnard, CFP®
Elias Park, CFP®
David W. Lamont, CFP®
Paul R. Maizes, CFP®
Robert J. Sayre, CFP®
Sherry G. Ashley, CFP®
Karin Le, CFP®
Mason G. Odom, CFP®
Benjamin Baumberger, CFP®
Jody C. Hyden, CFP®
Adam Landolfi, CFP®
Howard C. Williard, CFP®
Donovan A. Davis, CFP®
Robert L. Frits, CFP®
David J. Gordon, CFP®
Robert E. DiMilia, CFP®
Londa K. Grinna, CFP®
Debra L. Wachter, CFP®
Tiffany S. Windish, CFP®
Sharon N. Starkey, CFP®
Lewis K. Christman, CFP®
Martha B. Pierce, CFP®
Richard Faw, CFP®
Richard A. Kroll, CFP®
Stephen Y. Mohyla, CFP®
Daniel Cook, CFP®
Mark S. Stratton, CFP®
Jerod Cronkite, CFP®
Alexander G. Kondeas, CFP®
Gilbert A. Bachna, CFP®
Carol J. Richards, CFP®
Michael I. Wang, CFP®
Deborah L. McWilliams, CFP®
Scott C. Burack, CFP®
Robert W. Smith, CFP®
Bradley Stewart, CFP®
Alexander D. Hancock, CFP®
Mark D. Duricky, CFP®
Timothy L. Smith, CFP®
Charles Zsarnay, CFP®
Shane A. Carrier, CFP®
Peri A. Aptaker, CFP®
Alex J. Winslow, CFP®
Trevor Harkness, CFP®
Daniel J. Evans, CFP®
William T. Rabbitt, CFP®
Brian Houts, CFP®
Katherine D. Hagedorn, CFP®
James H. Swallow, CFP®
David Scureman, CFP®
Hadley A. Weinberg, CFP®
Carolyn Cameron, CFP®
Quang  T. Phan, CFP®
Steven E. Glick, CFP®
Sandra M. Andrade, CFP®
Michael J. Peters, CFP®
Seth W. Arbogast, CFP®
Howard W. Chan, CFP®
Scott M. Turner, CFP®
Nickolas  D. Wagner, CFP®
Kira Robinson-Kates, CFP®
Justin T. Kuczynski, CFP®
Kyle R. Phillip, CFP®
Theodore J. Cardasis, CFP®
Drew Echternach, CFP®
Trace C. Udall, CFP®
Benjamin Peters, CFP®
Andre J. Lambros, CFP®
C. D. Bruce, CFP®
Christopher V. Pramawat, CFP®
Shell York, CFP®
Michael A. Hart, CFP®
Susan M. Atherton, CFP®
Matthew DeGraff, CFP®
Aleksandr Seleznev, CFP®
J. D. Faler, CFP®
Michael Powell, CFP®
Mary R. Bruce-Helson, CFP®
David B. Ferris, CFP®
Stacey Bartelson, CFP®
Eric L. Tuchscher, CFP®
William D. Collins, CFP®
Les Hunzinger, CFP®
Johnny Ng, CFP®
Howard F. Varnedoe, CFP®
Neil P. Richardson, CFP®
Jacqueline B. Yapp, CFP®
Jeffrey C. Dorward, CFP®
Marium Y. Murphy, CFP®
Sondra M. Payne, CFP®
Matthew J. Boyce, CFP®
Jeffrey D. Netterville, CFP®
Nathan Cobert, CFP®
James T. Johnson, CFP®
Edward Braun, CFP®
Carrie D. Stevenson, CFP®
David J. Douglas, CFP®
Ryan E. Conners-Copeland, CFP®
Edward L. Hughes, CFP®
M. J. Wertz, CFP®
Scott M. Jones, CFP®
Robert A. Nicotra, CFP®
Brian T. Curtis, CFP®
Christopher P. Shea, CFP®
Walter T. Jessee, CFP®
Kevin M. Boutwell, CFP®
Andrew Drennen, CFP®
Belinda Tsui, CFP®
Diana G. VanHorn, CFP®
Justin L. Price, CFP®
Gregory L. Schmautz, CFP®
Sean  S. Cooper, CFP®
Shellie Haluska, CFP®
Elizabeth  Ackman , CFP®
Mahendra C. Mehra, CFP®
Michael J. Breunig, CFP®
John A. Vissicchio, CFP®
Erin K. Bonucchi, CFP®
Adam P. Grenier, CFP®
Brett  M. Murray , CFP®
Alan J. Eleria, CFP®
Larry B. Bell, CFP®
James R. Valmonte, CFP®
James D. Mirenda, CFP®
Jonathan Williams, CFP®
Taylor J. Whelan, CFP®
Irfan Bhabhrawala, CFP®
Ryan Stewart, CFP®
Spencer C. Eick, CFP®
James L. Hastings, CFP®
Carter Springer, CFP®
Matthew C. Hoke, CFP®
Todd Micciche, CFP®
Brent Keith, CFP®
Gavin R. Meredith, CFP®
Joseph Paoletti, CFP®
Ryan J. Gay, CFP®
Tracy A. Gibbs, CFP®
Thomas A. Bakamus, CFP®
Daniel J. Roeschlein, CFP®
Nicholas Mattiello, CFP®
Dillon Smith, CFP®
Susan K. Lewis, CFP®
James W. Nance, CFP®
Anita K. Miller, CFP®
Garrick M. King, CFP®
Marcus N. Seiter, CFP®
Derek  G. Hassenpflug, CFP®
Duane D. Cabrera, CFP®
Phillips M. Bragg, CFP®
David L. Costa, CFP®
Craig Bedenbaugh, CFP®
Jerome N. Ponzio, CFP®
Janko Trenkoski, CFP®
Mark A. Woods, CFP®
Edward F. Thomas, CFP®
Laura B. Rosen, CFP®
Todd A. Venturini, CFP®
Shawn Klotsche, CFP®
Brittany S. Kalsky, CFP®
Jonathan D. McAlister, CFP®
Richard S. Friedman, CFP®
Nick B. Capobianco, CFP®
Joseph P. Drier, CFP®
Nick Krenz, CFP®
Carl W. Benedict, CFP®
Cameron J. Price, CFP®
David P. Suess, CFP®
Lori Dietzler, CFP®
John G. Vertal, CFP®
Siu L. Lundy, CFP®
Johnny L. DeForest, CFP®
Linda C. Neuenburg, CFP®
Siobhaun M. Johnson, CFP®
Matthew  Leskovar, CFP®
Matthew D. Tyler, CFP®
Stephanie J. Webb, CFP®
Thomas M. Wagner, CFP®
Jay A. Wurtzler, CFP®
Timothy J. Aguillard, CFP®
Robert E. Fegely, CFP®
John J. Anderson, CFP®
Erik K. Hofstrom, CFP®
Kevin B. Stone, CFP®
Ryan Casey, CFP®
JENNIFER D. LEDWITH, CFP®
Cheryl L. Pratt, CFP®
Ryan  C. Brockhaus, CFP®
Robert J. Barnes, CFP®
Brian C. Yee, CFP®
Anthony J. DeGerolamo, CFP®
James S. Palavras, CFP®
Keith W. Andre, CFP®
Nathan M. Piel, CFP®
Lloyd  S. Lee, CFP®
Jordon Jellison, CFP®
Stephen K. Sorton, CFP®
Grant C. Holdren, CFP®
Mark B. Binkley, CFP®
Melanie M. Colusci, CFP®
David Drouin, CFP®
Heather C. Liston, CFP®
Bridget L. Weatherly, CFP®
Ronald J. Scharer, CFP®
Raymond A. Boothe, CFP®
Steffen C. Hellert, CFP®
Jennifer Weber, CFP®
Monica W. Whitney, CFP®
Richard P. Gribinas, CFP®
Troy L. Garcia, CFP®
James M. Giuliani, CFP®
Andrew L. Thompson, CFP®
Daniel Fetterolf, CFP®
Justin M. Pearlman, CFP®
Chloe A. Blythe, CFP®
Gregory Dutton, CFP®
Adam Lodge, CFP®
David D. Yonker, CFP®
Joshua M. Bradburn, CFP®
Timothy V. Monahan, CFP®
Marcus Malone, CFP®
Albert E. Dean, CFP®
Jacob C. Herman, CFP®
Michael L. Ross, CFP®
Sophie D. Brindejonc, CFP®
Lauren M. Russo, CFP®
Vincent J. Frustaglio, CFP®
David E. Johnson, CFP®
Pedro Gomez, CFP®
Nina J. Gabriel, CFP®
Kama  L. Unnerstall, CFP®
Eric G. Jacobs, CFP®
Gary A. Herz, CFP®
Jason D. Hastings, CFP®
Sheldon Y. Shiira, CFP®
Dwayne A. Hall, CFP®
Keith D. Worthington, CFP®
Tyler Brock, CFP®
Daniel A. Peterson, CFP®
Paul H. Scherf, CFP®
Paul C. Morgan, CFP®
Ashley K. Rittershaus, CFP®
William J. Nolan, CFP®
Carin P. Roman, CFP®
Charles F. Chunn, CFP®
Sandra A. Strohmeyer, CFP®
William D. Hutchison, CFP®
Garrett Prom, CFP®
Cameron Gast, CFP®
Jeffrey S. Robin, CFP®
Kevin D. Knight, CFP®
Donald W. Hubbard, CFP®
Jacob  P. Fidler , CFP®
Tyler J. Stearns, CFP®
Kahlilah K. Dowe, CFP®
Jonathan B. Shore, CFP®
Jerome B. Liebstein, CFP®
Sandra Gabay, CFP®
Bradford B. Smith, CFP®
Ilyas Akbar, CFP®
Jennifer E. Goff, CFP®
Sean C. Carroll, CFP®
Colton G. Saunders, CFP®
Joseph M. Dwyer, CFP®
James C. Scott, CFP®
Bradley T. Miller, CFP®
Elizabeth L. England, CFP®
Ryan F. Kavois, CFP®
Paul L. Meinsen, CFP®
Jonathan Horst, CFP®
Justin T. Vandegriff, CFP®
priscilla  sabates, CFP®
Christopher D. Puzio, CFP®
Patrick Mottley, CFP®
William O. Wright, CFP®
Douglas M. Ramsey, CFP®
Louis T. Scipione, CFP®
Reneta U. Thurairatnam, CFP®
J. R. Joyner, CFP®
John M. Walborn, CFP®
Mariann P. McDermott, CFP®
Steven B. Starnes, CFP®
Kenneth A. Benedict, CFP®
Michael G. Dunaway, CFP®
Corey Golden, CFP®
Jason J. Dobrzynski, CFP®
Holly P. Donaldson, CFP®
Alexander C. Kezer, CFP®
James T. Barnette, CFP®
Kaleb Baker, CFP®
Gerald T. Montegani, CFP®
Henry E. Zapisek, CFP®
Tony A. Winter, CFP®
Cynthia R. Miller, CFP®
JEREMIAH Whiddon, CFP®
Marco F. Bronzini, CFP®
Silvano R. Vizoso, CFP®
Bruce A. Kraig, CFP®
Joseph M. Nelligan, CFP®
Kelly G. Daniel, CFP®
Todd C. Pyles, CFP®
Justin J. Pearce, CFP®
Judith Brown, CFP®
Phillip B. Gross, CFP®
Drew S. McGarraugh, CFP®
Bruce D. Chadbourne, CFP®
John V. Skurkey, CFP®
Steven J. Dawson, CFP®
James D. Loftin, CFP®
Timothy A. Stiles, CFP®
Charles T. Lee, CFP®
Morgan Swalberg, CFP®
James Ka, CFP®
Peter Ritten, CFP®
Cary B. Stamp, CFP®
Derek Wittjohann, CFP®
Eugene P. Lamis, CFP®
Sarah M. Stewart, CFP®
Jason H. Gatts, CFP®
Yehuda B. Fishkind, CFP®
Carrie A. Ticali, CFP®
Christopher Grellas, CFP®
Freddy Garcia, CFP®
Katharine D. Kurtz, CFP®
Jonathan L. Bergner, CFP®
Justin K. Kawcak, CFP®
Naushaba  Rashid, CFP®
Kaitlin K. Day, CFP®
Benjamin  C. Carlstead, CFP®
Chris Maddock, CFP®
David C. Turner, CFP®
Peter V. Fleming, CFP®
Alison Venn, CFP®
Alan R. Foley, CFP®
T. S. Wolford, CFP®
Jacob Y. Halberstam, CFP®
Wendi Stratton, CFP®
Michael  T. Oney, CFP®
Brandon VanLandingham, CFP®
Johann R. Kroll, CFP®
Wendell B. Stewart, CFP®
Sharon B. Duncan, CFP®
Brad S. Steinback, CFP®
Mark A. Renard, CFP®
D. S. Jackson, CFP®
Eric P. Benker, CFP®
Marc A. Marotta, CFP®
Tai Chu, CFP®
Erika H. Link, CFP®
Joshua S. Lerner, CFP®
Everett F. Nix, CFP®
Benjamin A. Clymer, CFP®
Kate Ma Martinez, CFP®
Joseph F. Dunn, CFP®
Samuel B. Mills, CFP®
John J. Clark, CFP®
Jeffrey Ackler, CFP®
Brian M. Schmehil, CFP®
T. L. Sherbakoff, CFP®
Gregory  H. Harris, CFP®
Matthew  Jablonski, CFP®
Michael Lombardi, CFP®
Jeffrey T. Huff, CFP®
Tyler Bates, CFP®
Faith R. Xenos, CFP®
Frederic K. Anders, CFP®
Tyler Van Donge, CFP®
Whitney Hawkins, CFP®
Russell R. Harada, CFP®
Michael  R. Micallef, CFP®
Thomas S. McGeorge, CFP®
Jody A. Brown, CFP®
Kevin G. Lors, CFP®
Andrew Kross, CFP®
Nanette S. Heggie, CFP®
Daniel V. Wesolowski, CFP®
Matt Protzmann, CFP®
Austin J. Boniface, CFP®
Sharon M. Paratte, CFP®
Ryan Hall, CFP®
Jeffrey P. Fattig, CFP®
Alexander MacIsaac, CFP®
Timothy J. Bragg, CFP®
Leigh E. King, CFP®
Leo Rotman, CFP®
Anthony C. Spano, CFP®
Theodora T. Obilo, CFP®
Michael J. Egan, CFP®
William R. Washburn, CFP®
Mark Rethman, CFP®
Brian G. Mars, CFP®
Michael A. Durante, CFP®
Jason D. Fletcher, CFP®
David L. Mann, CFP®
Jeremy L. Eppley, CFP®
Richard A. Douma, CFP®
Roger E. Southward, CFP®
Paige M. Clausen, CFP®
Sarah L. Putnam, CFP®
Gavin R. Riddle, CFP®
Andrew Herman, CFP®
Sean P. Nisil, CFP®
J. S. Taylor, CFP®
Dean D. Weemhoff, CFP®
Geoffry H. Oshman, CFP®
Aaron M. Gabrielian, CFP®
Aura L. Carmi, CFP®
Coventry Edwards-Pitt, CFP®
Miroslav Dolapchiev, CFP®
Michael P. Sabatini, CFP®
Joseph D. O'Krepky, CFP®
Timothy Griesdorn, CFP®
Darin J. Hammerschmidt, CFP®
Tyson J. Ray, CFP®
Charles Hatlen, CFP®
Aaron Ells, CFP®
Kristen J. Mahan, CFP®
Jeffrey J. Johnson, CFP®
Jan Nicole R. Vega, CFP®
Robert Allen, CFP®
Krystal  C. Lee , CFP®
Francis R. Corsaro, CFP®
Lukas R. Goehring, CFP®
Vanessa Lee, CFP®
Dane T. Gleeson, CFP®
John C. Moore, CFP®
Dustin Hume, CFP®
Jamison Sharples, CFP®
Talya Bock, CFP®
Francis J. Niehaus, CFP®
Tyler Brownlee, CFP®
Jewels A. Oliquiano, CFP®
Hugh S. Patton, CFP®
Jeffrey M. Leonard, CFP®
David J. Gardiner, CFP®
Samuel L. Stender, CFP®
Paul R. Stringfellow, CFP®
Lamar M. Morris, CFP®
Travis J. Jacobs, CFP®
Stephen Stricklin, CFP®
Scott Reynolds, CFP®
Charles R. Dickson, CFP®
Theodore D. Lesko, CFP®
Daniel J. Michaelson, CFP®
Craig Reinert, CFP®
Michael R. Glovas, CFP®
Thao D. Pham, CFP®
John W. Bach, CFP®
Nicole  McConaghy, CFP®
Gregory S. Norris, CFP®
Kami L. Zonin, CFP®
Daniel B. Kline, CFP®
William M. Sanders, CFP®
Emily M. Nyquist, CFP®
Kimberly Pace, CFP®
Christopher B. Lawson, CFP®
Daniel Limmer, CFP®
John R. Sykora, CFP®
Peter J. Glaab, CFP®
David S. Palkovitz, CFP®
Garry T. Shea, CFP®
John M. Miller, CFP®
Nicholas W. Miller, CFP®
Courtney Arria, CFP®
William J. Faucher, CFP®
Leonard Thor, CFP®
William B. Howard, CFP®
Jeff Mall, CFP®
Joshua Harrell, CFP®
Kevin G. Noonan, CFP®
Nathaniel Powell, CFP®
Todd F. Washburn, CFP®
William P. Powers, CFP®
Richard S. Marx, CFP®
Blair A. Jamieson, CFP®
Greg P. Woods, CFP®
Kayla Kaltenecker, CFP®
roxanna martinez, CFP®
Matthew E. Power, CFP®
Daniel Schuster, CFP®
David V. Cove, CFP®
David N. Ivancic, CFP®
Anthony Pol, CFP®
James E. Wilson, CFP®
Matthew Fry, CFP®
Racquel H. Tibbetts, CFP®
Andrew M. Beebe, CFP®
Daryl Greer, CFP®
Jordan M. O'Grady, CFP®
Matthew E. Shaffer, CFP®
Ted L. Chartier, CFP®
Randall G. Peteros, CFP®
Kevin U. Shah, CFP®
Diarra K. Williams, CFP®
Steve  Essington, CFP®
Ross J. Zieglmeier, CFP®
Audrey Libois, CFP®
Matthew Kramer, CFP®
Robert K. Haley, CFP®
Lindsay Luper, CFP®
Danielle Howard, CFP®
Gregory R. Casten, CFP®
Matthew T. Berquist, CFP®
Patrick E. Reid, CFP®
David J. DeRaddo, CFP®
Kelly M. LYNCH-MOLONEY, CFP®
